,word,score
0,Arse,0.84
1,Bloody,0.03
2,Bugger,0.6
3,Cow,0.45
4,Crap,0.46
5,Damn,0.29
6,Ginger,0.42
7,Git,0.69
8,God,0.2
9,Goddam,0.12
10,Jesus,0.13
11,Christ,0.44
12,Minger,0.05
13,Sod-off,0.54
14,Arsehole,0.26
15,Balls,0.09
16,Bint,0.05
17,Bitch,0.31
18,Bollocks,0.62
19,Bullshit,0.29
20,Feck,0.93
21,Munter,0.5
22,Pissed/pissed,0.24
23,off,0.51
24,Shit,0.09
25,Son,0.35
26,of,0.99
27,a,0.49
28,bitch,0.32
29,Tits,0.73
30,Bastard,0.74
31,Beaver,0.1
32,Beef,0.19
33,curtains,0.07
34,Bellend,0.02
35,Bloodclaat,0.05
36,Clunge,0.1
37,Cock,0.54
38,Dick,0.37
39,Dickhead,0.04
40,Fanny,0.6
41,Flaps,0.75
42,Gash,0.81
43,Knob,0.13
44,Minge,0.77
45,Prick,0.87
46,Punani,0.67
47,Pussy,0.62
48,Snatch,0.73
49,Twat,0.97
